waktu,node,status,delay_ms,rssi_dbm,snr_db
07:11:47,Node3,reply,1100.5,-67,10.0
07:11:49,Node1,reply,1100.0,-68,9.5
07:11:50,Node2,reply,1100.2,-67,9.75
07:11:51,Node3,reply,1100.0,-66,9.75
07:11:53,Node1,reply,1100.7,-67,10.0
07:11:54,Node2,reply,1100.9,-67,9.5
07:11:55,Node3,reply,1100.4,-65,10.0
07:11:57,Node1,reply,1100.5,-68,9.5
07:11:58,Node2,reply,1102.6,-64,9.5
07:11:59,Node3,reply,1100.5,-65,10.0
07:12:01,Node1,reply,1100.1,-66,9.5
07:12:02,Node2,reply,1100.2,-66,9.5
07:12:04,Node3,timeout,,,
07:12:05,Node1,reply,1106.6,-66,9.5
07:12:06,Node2,reply,1100.4,-65,10.0
07:12:08,Node3,reply,1100.6,-66,10.75
